No.;Time;Source;Destination;Protocol;Length;Info;;TIME 1;TIME 2;DELAY ;;DELAY 1;DELAY 2;JITTER
72;0,30629;192.168.27.81;202.67.42.206;UDP;75;63764  >  443 Len=33;;0,30629;0,322409;0,016119;;0,016119;0;-0,016119
73;0,322409;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,322409;0,322409;0;;-0,000395;0,000395;0,00079
74;0,322409;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,322409;0,322804;0,000395;;6,9E-05;0,000326;0,000257
75;0,322804;192.168.27.81;202.67.42.206;UDP;88;63764  >  443 Len=46;;0,322804;0,32313;0,000326;;-0,00326;0,003586;0,006846
76;0,32313;192.168.27.81;202.67.42.206;UDP;90;63764  >  443 Len=48;;0,32313;0,326716;0,003586;;0,003262;0,000324;-0,002938
77;0,326716;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,326716;0,32704;0,000324;;-0,005681;0,006005;0,011686
78;0,32704;192.168.27.81;202.67.42.206;UDP;89;63764  >  443 Len=47;;0,32704;0,333045;0,006005;;0,001047;0,004958;0,003911
79;0,333045;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,333045;0,338003;0,004958;;0,004742;0,000216;-0,004526
80;0,338003;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,338003;0,338219;0,000216;;-4,3E-05;0,000259;0,000302
81;0,338219;192.168.27.81;202.67.42.206;UDP;89;63764  >  443 Len=47;;0,338219;0,338478;0,000259;;-0,01045;0,010709;0,021159
82;0,338478;192.168.27.81;202.67.42.206;UDP;90;63764  >  443 Len=48;;0,338478;0,349187;0,010709;;0,010342;0,000367;-0,009975
83;0,349187;202.67.42.206;192.168.27.81;UDP;1283;443  >  63764 Len=1241;;0,349187;0,349554;0,000367;;-0,002378;0,002745;0,005123
84;0,349554;192.168.27.81;202.67.42.206;UDP;90;63764  >  443 Len=48;;0,349554;0,352299;0,002745;;0,002416;0,000329;-0,002087
85;0,352299;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,352299;0,352628;0,000329;;-0,008543;0,008872;0,017415
86;0,352628;192.168.27.81;202.67.42.206;UDP;90;63764  >  443 Len=48;;0,352628;0,3615;0,008872;;0,008872;0;-0,008872
87;0,3615;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,3615;0,3615;0;;-0,000171;0,000171;0,000342
88;0,3615;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,3615;0,361671;0,000171;;-5E-06;0,000176;0,000181
89;0,361671;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,361671;0,361847;0,000176;;-0,007782;0,007958;0,01574
90;0,361847;192.168.27.81;202.67.42.206;UDP;90;63764  >  443 Len=48;;0,361847;0,369805;0,007958;;-0,058192;0,06615;0,124342
91;0,369805;192.168.27.81;202.67.42.206;UDP;91;63764  >  443 Len=49;;0,369805;0,435955;0,06615;;0,061918;0,004232;-0,057686
92;0,435955;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,435955;0,440187;0,004232;;0,004232;0;-0,004232
93;0,440187;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,440187;0,440187;0;;-0,000247;0,000247;0,000494
94;0,440187;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,440187;0,440434;0,000247;;0,000247;0;-0,000247
95;0,440434;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,440434;0,440434;0;;0;0;0
96;0,440434;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,440434;0,440434;0;;0;0;0
97;0,440434;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,440434;0,440434;0;;-0,000242;0,000242;0,000484
98;0,440434;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,440434;0,440676;0,000242;;5,1E-05;0,000191;0,00014
99;0,440676;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,440676;0,440867;0,000191;;0,000161;3E-05;-0,000131
100;0,440867;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,440867;0,440897;3E-05;;3E-05;0;-3E-05
101;0,440897;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,440897;0,440897;0;;-0,000361;0,000361;0,000722
102;0,440897;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,440897;0,441258;0,000361;;0,000306;5,5E-05;-0,000251
103;0,441258;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,441258;0,441313;5,5E-05;;-0,000591;0,000646;0,001237
104;0,441313;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,441313;0,441959;0,000646;;-0,017804;0,01845;0,036254
105;0,441959;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,441959;0,460409;0,01845;;0,01845;0;-0,01845
106;0,460409;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,460409;0,460409;0;;-0,005307;0,005307;0,010614
107;0,460409;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,460409;0,465716;0,005307;;-0,04017;0,045477;0,085647
108;0,465716;192.168.27.81;202.67.42.206;UDP;77;63764  >  443 Len=35;;0,465716;0,511193;0,045477;;0,045084;0,000393;-0,044691
109;0,511193;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,511193;0,511586;0,000393;;-0,004807;0,0052;0,010007
110;0,511586;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,511586;0,516786;0,0052;;0,0052;0;-0,0052
111;0,516786;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,516786;0,516786;0;;-0,000362;0,000362;0,000724
112;0,516786;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,516786;0,517148;0,000362;;-0,002412;0,002774;0,005186
113;0,517148;192.168.27.81;202.67.42.206;UDP;77;63764  >  443 Len=35;;0,517148;0,519922;0,002774;;-0,001403;0,004177;0,00558
114;0,519922;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,519922;0,524099;0,004177;;-0,002786;0,006963;0,009749
115;0,524099;192.168.27.81;202.67.42.206;UDP;77;63764  >  443 Len=35;;0,524099;0,531062;0,006963;;0,006963;0;-0,006963
116;0,531062;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,531062;0,531062;0;;-0,000402;0,000402;0,000804
117;0,531062;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,531062;0,531464;0,000402;;0,000204;0,000198;-6E-06
118;0,531464;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,531464;0,531662;0,000198;;-0,014007;0,014205;0,028212
119;0,531662;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,531662;0,545867;0,014205;;0,013811;0,000394;-0,013417
120;0,545867;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,545867;0,546261;0,000394;;-0,008384;0,008778;0,017162
121;0,546261;192.168.27.81;202.67.42.206;UDP;83;63764  >  443 Len=41;;0,546261;0,555039;0,008778;;0,008422;0,000356;-0,008066
122;0,555039;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,555039;0,555395;0,000356;;-0,00495;0,005306;0,010256
123;0,555395;192.168.27.81;202.67.42.206;UDP;79;63764  >  443 Len=37;;0,555395;0,560701;0,005306;;0,005306;0;-0,005306
124;0,560701;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,560701;0,560701;0;;-0,000412;0,000412;0,000824
125;0,560701;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,560701;0,561113;0,000412;;-0,000561;0,000973;0,001534
